Intersection_ID,Intersection_Name,Fixed_Avg_Queue,Adaptive_Avg_Queue,Queue_Reduction_Pct,Fixed_Avg_Delay_Sec,Adaptive_Avg_Delay_Sec,Delay_Reduction_Pct,High_Congestion_Pct,Estimated_Travel_Time_Improvement_Pct,Fixed_Cycle_Efficiency_veh_per_sec,Adaptive_Cycle_Efficiency_veh_per_sec
INT_01,Queen St / Customs St,3.32,2.56,22.81,16.3,13.08,19.77,26.71,16.8,1.301,1.107
INT_02,Symonds St / Khyber Pass Rd,1.77,1.51,14.64,10.78,9.55,11.38,15.42,9.68,0.939,0.98
INT_03,Dominion Rd / Balmoral Rd,1.04,1.0,3.76,7.76,7.57,2.36,0.9,2.0,0.699,0.861
INT_04,Great South Rd / Market Rd,2.03,1.7,16.15,11.77,10.2,13.33,18.73,11.33,1.021,1.002
