model_type,model_name,mae,rmse,r2,accuracy,precision,recall,f1
Regression,Linear_Regression,0.4893104996590023,0.6308045079478108,0.8876943281902653,,,,
Regression,Random_Forest_Regressor,0.39894664922076895,0.5172665923356352,0.9244836528315632,,,,
Regression,Gradient_Boosting_Regressor,0.3964101304848497,0.5018663016611729,0.9289133277009031,,,,
Classification,Random_Forest_Classifier,,,,0.8597222222222223,0.8591986619265366,0.8597222222222223,0.8594402101246
Classification,Gradient_Boosting_Classifier,,,,0.867824074074074,0.8666832212892247,0.867824074074074,0.8671035206384793
Incident_Detection,Logistic_Regression_Incident,,,,,0.4919093851132686,1.0,0.6594360086767896
Incident_Detection,Random_Forest_Incident,,,,,0.9403973509933775,0.9342105263157895,0.9372937293729373
